e_id,data_file
1,ASV_Core_final_03.csv
2,ASV_Core_final_05.csv
3,ASV_Core_final_09.csv
4,ASV_Core_005.csv
5,core_ASV_05.csv
6,core_ASV_30.csv
7,core_ASV_50.csv
8,core_ASV_30.csv
9,core_ASV_20.csv
10,core_ASV_10.csv
11,core_ASV_fixed_05.csv
12,core_ASV_fixed_30.csv
13,core_ASV_fixed_20.csv
14,core_ASV_fixed_10.csv
15,core_ASV_fixed_30.csv
16,core_ASV_fixed_30.csv
17,core_ASV_fixed_20.csv
18,core_ASV_fixed_10.csv
19,core_ASV_fixed_05.csv
20,core_ASV_fixed_30.csv
