ASV_ID,edge_type
ASV_00003,pos
ASV_00004,pos
ASV_00006,pos
ASV_00010,pos
ASV_00014,pos
ASV_00028,pos
ASV_00046,pos
ASV_00212,pos
ASV_00282,pos
ASV_00507,pos
ASV_00001,neg
ASV_00003,neg
ASV_00004,neg
ASV_00006,neg
ASV_00007,neg
ASV_00008,neg
ASV_00009,neg
ASV_00010,neg
ASV_00011,neg
ASV_00018,neg
ASV_00022,neg
ASV_00028,neg
ASV_00029,neg
ASV_00046,neg
ASV_00053,neg
ASV_00067,neg
ASV_00088,neg
ASV_00093,neg
ASV_00094,neg
ASV_00126,neg
ASV_00152,neg
ASV_00159,neg
ASV_00173,neg
ASV_00223,neg
ASV_00243,neg
ASV_00269,neg
ASV_00277,neg
ASV_00280,neg
ASV_00303,neg
ASV_00309,neg
ASV_00320,neg
ASV_00334,neg
ASV_00378,neg
ASV_00397,neg
ASV_00400,neg
ASV_00437,neg
ASV_00442,neg
ASV_00455,neg
ASV_00492,neg
ASV_00508,neg
ASV_00524,neg
ASV_00534,neg
ASV_00544,neg
ASV_00564,neg
ASV_00576,neg
ASV_00643,neg
ASV_00651,neg
ASV_00687,neg
ASV_00714,neg
ASV_00757,neg
ASV_00807,neg
ASV_00863,neg
ASV_00894,neg
ASV_00924,neg
ASV_01058,neg
ASV_01086,neg
ASV_01149,neg
ASV_01184,neg
ASV_01544,neg
ASV_01593,neg
ASV_01840,neg
ASV_02931,neg
ASV_04542,neg
