node_id,level1,level2,leaf_id,layer_id,flow,node_name,layer_name
1,6,240,NA,1,1.78686e-4,ASV_00001,IT1
1,2,465,NA,2,2.52651e-4,ASV_00001,IT2
1,7,1,6,3,7.41076e-5,ASV_00001,IT3
1,1,476,NA,5,3.78798e-4,ASV_00001,UK1
1,4,17,NA,6,3.03045e-4,ASV_00001,UK2
2,6,272,NA,1,1.54696e-4,ASV_00002,IT1
2,2,2,NA,2,8.6438e-4,ASV_00002,IT2
2,7,7,2,3,5.03579e-5,ASV_00002,IT3
2,5,103,NA,4,3.83565e-4,ASV_00002,FI1
2,1,331,NA,5,6.45759e-4,ASV_00002,UK1
2,4,156,NA,6,2.09869e-4,ASV_00002,UK2
2,3,291,NA,7,2.5637e-4,ASV_00002,SE1
3,6,95,NA,1,2.72175e-4,ASV_00003,IT1
3,2,160,NA,2,4.51802e-4,ASV_00003,IT2
3,7,1,14,3,5.92843e-5,ASV_00003,IT3
3,5,302,NA,4,1.49637e-4,ASV_00003,FI1
3,1,191,NA,5,7.91873e-4,ASV_00003,UK1
3,4,5,NA,6,3.29505e-4,ASV_00003,UK2
3,3,109,NA,7,3.75075e-4,ASV_00003,SE1
4,6,142,NA,1,2.39571e-4,ASV_00004,IT1
4,2,299,NA,2,3.53534e-4,ASV_00004,IT2
4,7,1,46,3,6.00161e-6,ASV_00004,IT3
4,5,159,NA,4,3.19286e-4,ASV_00004,FI1
4,1,382,NA,5,5.76933e-4,ASV_00004,UK1
4,4,145,NA,6,2.13036e-4,ASV_00004,UK2
4,3,59,NA,7,4.31959e-4,ASV_00004,SE1
5,6,300,NA,1,1.04878e-4,ASV_00005,IT1
5,2,468,NA,2,2.52031e-4,ASV_00005,IT2
5,7,1,21,3,4.93094e-5,ASV_00005,IT3
5,5,300,NA,4,1.51709e-4,ASV_00005,FI1
5,1,444,NA,5,4.9137e-4,ASV_00005,UK1
5,4,141,NA,6,2.13886e-4,ASV_00005,UK2
5,3,122,NA,7,3.65828e-4,ASV_00005,SE1
6,6,137,NA,1,2.43686e-4,ASV_00006,IT1
6,2,271,NA,2,3.67978e-4,ASV_00006,IT2
6,7,12,7,3,1.62653e-5,ASV_00006,IT3
6,5,278,NA,4,1.82689e-4,ASV_00006,FI1
6,1,56,NA,5,9.25223e-4,ASV_00006,UK1
6,4,264,NA,6,1.77056e-4,ASV_00006,UK2
6,3,84,NA,7,4.04409e-4,ASV_00006,SE1
7,6,11,NA,1,3.60799e-4,ASV_00007,IT1
7,2,212,NA,2,4.07257e-4,ASV_00007,IT2
7,7,1,43,3,1.53569e-5,ASV_00007,IT3
7,5,222,NA,4,2.48701e-4,ASV_00007,FI1
7,1,20,NA,5,0.00100292,ASV_00007,UK1
7,4,288,NA,6,1.71998e-4,ASV_00007,UK2
7,3,338,NA,7,2.17047e-4,ASV_00007,SE1
8,6,207,NA,1,2.0041e-4,ASV_00008,IT1
8,2,20,NA,2,6.85555e-4,ASV_00008,IT2
8,7,5,2,3,6.71721e-5,ASV_00008,IT3
8,5,210,NA,4,2.59431e-4,ASV_00008,FI1
8,1,124,NA,5,8.59883e-4,ASV_00008,UK1
8,4,295,NA,6,1.69736e-4,ASV_00008,UK2
8,3,319,NA,7,2.30934e-4,ASV_00008,SE1
9,6,166,NA,1,2.29332e-4,ASV_00009,IT1
9,2,273,NA,2,3.67172e-4,ASV_00009,IT2
9,7,10,5,3,3.26944e-5,ASV_00009,IT3
9,5,8,NA,4,5.5662e-4,ASV_00009,FI1
9,1,357,NA,5,6.16515e-4,ASV_00009,UK1
9,4,45,NA,6,2.60627e-4,ASV_00009,UK2
9,3,92,NA,7,3.93502e-4,ASV_00009,SE1
10,6,296,NA,1,1.20843e-4,ASV_00010,IT1
10,2,402,NA,2,2.97864e-4,ASV_00010,IT2
10,7,9,11,3,6.58766e-6,ASV_00010,IT3
10,5,236,NA,4,2.37049e-4,ASV_00010,FI1
10,1,410,NA,5,5.3661e-4,ASV_00010,UK1
10,4,557,NA,6,1.02644e-4,ASV_00010,UK2
10,3,10,NA,7,6.09941e-4,ASV_00010,SE1
11,6,301,NA,1,1.04546e-4,ASV_00011,IT1
11,2,195,NA,2,4.20068e-4,ASV_00011,IT2
11,7,1,22,3,4.68127e-5,ASV_00011,IT3
11,5,181,NA,4,2.90553e-4,ASV_00011,FI1
11,1,163,NA,5,8.14366e-4,ASV_00011,UK1
11,4,180,NA,6,2.00125e-4,ASV_00011,UK2
11,3,391,NA,7,1.75887e-4,ASV_00011,SE1
12,6,254,NA,1,1.71075e-4,ASV_00012,IT1
12,2,190,NA,2,4.2425e-4,ASV_00012,IT2
12,5,38,NA,4,4.58885e-4,ASV_00012,FI1
12,1,411,NA,5,5.34023e-4,ASV_00012,UK1
12,4,223,NA,6,1.89001e-4,ASV_00012,UK2
12,3,28,NA,7,4.96744e-4,ASV_00012,SE1
13,6,130,NA,1,2.46453e-4,ASV_00013,IT1
13,2,21,NA,2,6.83409e-4,ASV_00013,IT2
13,7,5,14,3,9.19966e-6,ASV_00013,IT3
13,5,122,NA,4,3.56751e-4,ASV_00013,FI1
13,1,194,NA,5,7.8703e-4,ASV_00013,UK1
13,4,283,NA,6,1.73674e-4,ASV_00013,UK2
