from,PF_U,PF_U_sd,num_layers,UniFrac_type
ASV_00001,0.20734321456124205,0.18065610319725545,4,d_UW
ASV_00002,0.5216569847754912,0.06839091366739594,6,d_UW
ASV_00005,0.47172271134731514,0.18968529179742977,5,d_UW
ASV_00007,0.19407777452944142,0.11758826906905268,4,d_UW
ASV_00008,0.1954819362839877,0.2108512345361197,5,d_UW
ASV_00009,0.17530179587360062,0.13195587105376924,7,d_UW
ASV_00010,0.39706765540716304,0.1593937608599541,5,d_UW
ASV_00011,0.25784877267422346,0.24185658819246192,6,d_UW
ASV_00012,0.2939197309989062,0.1578696798242143,5,d_UW
ASV_00013,0.3291130031689007,0.09940678278015527,7,d_UW
ASV_00014,0.49769478813387,0.1373611849868518,4,d_UW
ASV_00015,0.5128696646021036,0.12321890282461545,5,d_UW
ASV_00016,0.43997644744594677,0.13643020605667192,6,d_UW
ASV_00017,0.49519229477057647,0.11011932936033278,5,d_UW
ASV_00018,0.34935222465694526,0.24268066058928942,6,d_UW
ASV_00019,0.374007764722315,0.07618814687249872,6,d_UW
ASV_00020,0.2890888240747215,0.18894503602590698,4,d_UW
ASV_00021,0.3411649407463221,0.28145901335296786,5,d_UW
ASV_00022,0.17267424628865446,0.14668336067143312,3,d_UW
ASV_00023,0.3922579367580449,0.10793831055141354,4,d_UW
ASV_00024,0.4130623992781727,0.09363851243942073,7,d_UW
ASV_00025,0.48007579084356367,0.0868255391512657,4,d_UW
ASV_00026,0.49581927492585853,0.06575180147360955,5,d_UW
ASV_00028,0.30044183601829644,0.12025306497355402,4,d_UW
ASV_00029,0.2186296641928872,0.17573609030447973,5,d_UW
ASV_00030,0.3988647756869388,0.20754733530068337,6,d_UW
ASV_00031,0.35930530708636754,0.1289043876828134,7,d_UW
ASV_00032,0.4006910356082638,0.19387709931450128,6,d_UW
ASV_00033,0.3514077177857132,0.1237938848971219,6,d_UW
ASV_00034,0.36375681354745193,0.13474384018811036,6,d_UW
ASV_00035,0.24491746947548287,0.13703983137218928,7,d_UW
ASV_00036,0.5309352628274295,0.08041855706696831,6,d_UW
ASV_00037,0.4685446373295604,0.10105988662623168,6,d_UW
ASV_00038,0.5091846846869645,0.07087368190224078,5,d_UW
ASV_00039,0.489641105046271,0.07249299582868877,5,d_UW
ASV_00040,0.19926033307089508,0.19266225172413476,7,d_UW
ASV_00041,0.4091437058341302,0.10283981475570814,6,d_UW
ASV_00042,0.27942408665315555,0.11624954203748597,7,d_UW
ASV_00043,0.5143334397917154,0.1093620609274021,5,d_UW
ASV_00044,0.3250145922132236,0.13903681508329552,7,d_UW
ASV_00045,0.4913295203344902,0.07292197776691964,6,d_UW
ASV_00046,0.335721031565544,0.08774228281239324,4,d_UW
ASV_00047,0.529760368703845,0.07177742016966204,4,d_UW
ASV_00048,0.3866275775087834,0.2351070589903017,7,d_UW
ASV_00049,0.38953013216227417,0.12482203168247223,6,d_UW
