from,PF_J,PF_J_sd,num_layers
ASV_00001,0.04433844352162293,0.06661582557529705,5
ASV_00002,0.2152476552941616,0.14572360504498624,6
ASV_00005,0.18574456794575628,0.12514380913745357,5
ASV_00007,0.042544026718295304,0.04239518323915354,4
ASV_00008,0.036977760005932024,0.061656395479381475,5
ASV_00009,0.021595515507860027,0.04106414633137077,7
ASV_00010,0.08384289108509296,0.06636078471916657,5
ASV_00011,0.08546948609173653,0.10082932439772042,6
ASV_00012,0.04818514421615676,0.036842719460333226,6
ASV_00013,0.04706907817058612,0.06808560901021404,7
ASV_00014,0.21052877688214244,0.13043378023676228,4
ASV_00015,0.23638602153287053,0.1212560281535322,5
ASV_00016,0.19596002399270382,0.1537608744973036,7
ASV_00017,0.27082877067406724,0.11763769180733366,5
ASV_00018,0.13553280719496355,0.1588107474265998,6
ASV_00019,0.03029373215098361,0.026510764947602072,6
ASV_00020,0.05212140812257029,0.10127492314180082,4
ASV_00021,0.1953765999787908,0.17315542571307396,6
ASV_00022,0.043711886477106,0.03872021317122155,3
ASV_00023,0.049665787847287535,0.04004180002739491,4
ASV_00024,0.08008924339730952,0.07356254905773245,7
ASV_00025,0.2632864262184082,0.10702097330389446,5
ASV_00026,0.1947203593197609,0.07638507248054527,5
ASV_00027,0.007662835249042099,NA,2
ASV_00028,0.022516281030484975,0.021725047067218842,4
ASV_00029,0.05146535789421271,0.05379378626239123,5
ASV_00030,0.14576431016191982,0.116913674830463,6
ASV_00031,0.0545540457177684,0.049799195213017185,7
ASV_00032,0.15500984791639608,0.16918865472719996,6
ASV_00033,0.05101317298926452,0.05133719514332323,6
ASV_00034,0.09650209744104284,0.07623402204989219,6
ASV_00035,0.045215660731120315,0.05015596252180843,7
ASV_00036,0.24661145326812758,0.08580998502365514,6
ASV_00037,0.13709849296995985,0.0873173332587026,6
ASV_00038,0.2784221725884254,0.0913069910589656,5
ASV_00039,0.125678268994287,0.09210567899878637,7
ASV_00040,0.03293878561415056,0.04582211719257642,7
ASV_00041,0.09533710915189744,0.10870662445107016,7
ASV_00042,0.05329208940409262,0.06732667093350866,7
ASV_00043,0.27744769992126245,0.13046510898914515,5
ASV_00044,0.04885364686485612,0.0804381373859659,7
ASV_00045,0.16037531794086518,0.12694553137897535,7
ASV_00046,0.07313731796561729,0.04411984704997018,4
ASV_00047,0.2866819208370247,0.09676791594511806,5
ASV_00048,0.17658513868168013,0.14947652766270533,7
ASV_00049,0.1012103209062475,0.09142248904567986,7
ASV_00050,0.15553935090135484,0.1520985218120227,7
ASV_00051,0.11167441508552707,0.11496123992129127,7
ASV_00052,0.15131710890868785,0.14506013145660082,7
ASV_00053,0.21931081838666006,0.1453933874869608,6
ASV_00054,0.10525184585020371,0.12212054327176505,7
