Farm,Cows,ASVs,ASVs per cow,Links,Density
UK1,243,490,280.3 [100-442],71101,0.61
UK2,164,630,369.1 [145-498],51551,0.27
IT1,185,307,179.8 [89-292],20466,0.45
IT2,176,566,349.6 [129-505],63310,0.42
IT3,48,217,125.8 [73-188],2776,0.13
FI1,100,329,185.8 [88-300],23298,0.49
SE1,96,461,259.4 [42-389],36783,0.35
