node_id,module,layer_id,flow,node_name,short_name
1,1,1,6.63363e-5,ASV_00001,UK1
1,1,2,1.06797e-4,ASV_00001,UK2
1,1,3,4.7047e-6,ASV_00001,IT1
1,1,5,3.76376e-6,ASV_00001,IT3
1,1,7,1.22322e-5,ASV_00001,SE1
2,1,1,4.13543e-4,ASV_00002,UK1
2,1,2,4.75175e-4,ASV_00002,UK2
2,1,3,3.31681e-4,ASV_00002,IT1
2,1,4,4.19189e-4,ASV_00002,IT2
2,1,5,1.19029e-4,ASV_00002,IT3
2,1,7,1.6043e-4,ASV_00002,SE1
3,1,7,2.3994e-5,ASV_00003,SE1
4,1,7,4.7047e-6,ASV_00004,SE1
5,1,1,2.92632e-4,ASV_00005,UK1
5,1,2,1.71722e-4,ASV_00005,UK2
5,1,3,2.62522e-4,ASV_00005,IT1
5,1,4,1.61842e-4,ASV_00005,IT2
5,1,5,2.63463e-5,ASV_00005,IT3
6,1,7,4.7047e-6,ASV_00006,SE1
7,1,3,1.78779e-5,ASV_00007,IT1
7,1,5,4.7047e-6,ASV_00007,IT3
7,1,6,4.23423e-5,ASV_00007,FI1
7,1,7,1.51021e-4,ASV_00007,SE1
8,1,1,5.97497e-5,ASV_00008,UK1
8,1,3,1.48198e-4,ASV_00008,IT1
8,1,5,1.41141e-6,ASV_00008,IT3
8,1,6,9.4094e-7,ASV_00008,FI1
8,1,7,2.86987e-5,ASV_00008,SE1
9,1,1,2.82282e-6,ASV_00009,UK1
9,1,2,4.7047e-6,ASV_00009,UK2
9,1,3,7.52752e-6,ASV_00009,IT1
9,1,4,7.99799e-6,ASV_00009,IT2
9,1,5,4.7047e-6,ASV_00009,IT3
9,1,6,9.4094e-7,ASV_00009,FI1
9,1,7,1.34554e-4,ASV_00009,SE1
10,1,1,1.03033e-4,ASV_00010,UK1
10,1,2,3.05806e-5,ASV_00010,UK2
10,1,3,1.60901e-4,ASV_00010,IT1
10,1,4,5.64564e-6,ASV_00010,IT2
10,1,7,3.66967e-5,ASV_00010,SE1
11,1,1,7.29229e-5,ASV_00011,UK1
11,1,2,7.85685e-5,ASV_00011,UK2
11,1,3,1.46787e-4,ASV_00011,IT1
11,1,4,1.03503e-5,ASV_00011,IT2
11,1,5,1.41141e-6,ASV_00011,IT3
11,1,7,3.52853e-5,ASV_00011,SE1
12,1,1,1.03503e-5,ASV_00012,UK1
12,1,3,2.25826e-5,ASV_00012,IT1
12,1,4,1.22322e-4,ASV_00012,IT2
12,1,5,2.25826e-5,ASV_00012,IT3
12,1,6,1.03503e-5,ASV_00012,FI1
12,1,7,1.74074e-4,ASV_00012,SE1
13,1,1,2.103e-4,ASV_00013,UK1
13,1,2,2.58759e-5,ASV_00013,UK2
13,1,3,9.17417e-5,ASV_00013,IT1
13,1,4,9.87987e-6,ASV_00013,IT2
13,1,5,2.11712e-5,ASV_00013,IT3
13,1,6,1.72192e-4,ASV_00013,FI1
13,1,7,2.56406e-4,ASV_00013,SE1
14,1,1,2.4041e-4,ASV_00014,UK1
14,1,2,1.5008e-4,ASV_00014,UK2
14,1,3,1.83013e-4,ASV_00014,IT1
14,1,4,4.04604e-5,ASV_00014,IT2
15,1,1,0.00023711700000000001,ASV_00015,UK1
15,1,2,1.79249e-4,ASV_00015,UK2
15,1,3,2.31001e-4,ASV_00015,IT1
15,1,4,2.2065e-4,ASV_00015,IT2
15,1,5,4.93994e-5,ASV_00015,IT3
16,1,1,3.95195e-4,ASV_00016,UK1
16,1,2,4.08368e-4,ASV_00016,UK2
16,1,4,4.46476e-4,ASV_00016,IT2
16,1,5,1.1056e-4,ASV_00016,IT3
16,1,6,3.15215e-5,ASV_00016,FI1
16,1,7,3.62732e-4,ASV_00016,SE1
17,1,1,3.84844e-4,ASV_00017,UK1
17,1,2,2.96867e-4,ASV_00017,UK2
17,1,3,1.77838e-4,ASV_00017,IT1
17,1,4,3.24624e-4,ASV_00017,IT2
17,1,5,9.31531e-5,ASV_00017,IT3
18,1,1,3.90961e-4,ASV_00018,UK1
18,1,2,2.34765e-4,ASV_00018,UK2
18,1,3,2.94514e-4,ASV_00018,IT1
18,1,4,2.24885e-4,ASV_00018,IT2
18,1,5,9.4094e-7,ASV_00018,IT3
18,1,6,1.83483e-5,ASV_00018,FI1
19,1,1,1.17618e-5,ASV_00019,UK1
19,1,3,8.7037e-5,ASV_00019,IT1
19,1,4,5.17517e-6,ASV_00019,IT2
