asv_id,membership
UK1_ASV_00001,25
UK1_ASV_00002,25
UK1_ASV_00005,25
UK1_ASV_00008,25
UK1_ASV_00009,30
UK1_ASV_00010,25
UK1_ASV_00011,25
UK1_ASV_00012,30
UK1_ASV_00013,25
UK1_ASV_00014,25
UK1_ASV_00015,25
UK1_ASV_00016,25
UK1_ASV_00017,25
UK1_ASV_00018,2
UK1_ASV_00019,30
UK1_ASV_00021,2
UK1_ASV_00023,25
UK1_ASV_00024,2
UK1_ASV_00025,25
UK1_ASV_00026,25
UK1_ASV_00028,30
UK1_ASV_00029,30
UK1_ASV_00030,2
UK1_ASV_00031,25
UK1_ASV_00032,2
UK1_ASV_00033,25
UK1_ASV_00034,2
UK1_ASV_00035,25
UK1_ASV_00036,25
UK1_ASV_00037,25
UK1_ASV_00038,25
UK1_ASV_00039,25
UK1_ASV_00041,25
UK1_ASV_00042,2
UK1_ASV_00043,2
UK1_ASV_00044,2
UK1_ASV_00045,2
UK1_ASV_00046,25
UK1_ASV_00047,25
UK1_ASV_00048,25
UK1_ASV_00049,2
UK1_ASV_00050,2
UK1_ASV_00051,2
UK1_ASV_00052,25
UK1_ASV_00053,2
UK1_ASV_00054,2
UK1_ASV_00055,2
UK1_ASV_00056,2
UK1_ASV_00057,2
UK1_ASV_00058,25
UK1_ASV_00059,2
UK1_ASV_00060,2
UK1_ASV_00061,25
UK1_ASV_00062,25
UK1_ASV_00063,2
UK1_ASV_00064,2
UK1_ASV_00065,25
UK1_ASV_00066,2
UK1_ASV_00068,2
UK1_ASV_00069,25
UK1_ASV_00070,2
UK1_ASV_00071,2
UK1_ASV_00072,2
UK1_ASV_00073,2
UK1_ASV_00074,25
UK1_ASV_00075,25
UK1_ASV_00076,2
UK1_ASV_00078,2
UK1_ASV_00079,2
UK1_ASV_00080,2
UK1_ASV_00081,2
UK1_ASV_00082,2
UK1_ASV_00083,2
UK1_ASV_00084,2
UK1_ASV_00085,2
UK1_ASV_00086,2
UK1_ASV_00087,2
UK1_ASV_00088,2
UK1_ASV_00089,2
UK1_ASV_00090,2
UK1_ASV_00091,2
UK1_ASV_00092,2
UK1_ASV_00093,2
UK1_ASV_00094,2
UK1_ASV_00095,25
UK1_ASV_00096,2
UK1_ASV_00097,2
UK1_ASV_00098,25
UK1_ASV_00099,25
UK1_ASV_00100,2
UK1_ASV_00101,2
UK1_ASV_00102,2
UK1_ASV_00103,2
UK1_ASV_00104,2
UK1_ASV_00105,2
UK1_ASV_00106,2
UK1_ASV_00107,2
UK1_ASV_00108,2
UK1_ASV_00109,2
UK1_ASV_00110,2
UK1_ASV_00111,25
UK1_ASV_00112,2
UK1_ASV_00113,2
UK1_ASV_00115,25
UK1_ASV_00116,2
UK1_ASV_00117,2
UK1_ASV_00118,2
UK1_ASV_00119,2
UK1_ASV_00120,2
UK1_ASV_00121,25
UK1_ASV_00122,25
UK1_ASV_00123,2
UK1_ASV_00125,2
UK1_ASV_00126,2
UK1_ASV_00127,2
UK1_ASV_00128,20
UK1_ASV_00129,20
UK1_ASV_00130,20
UK1_ASV_00131,20
UK1_ASV_00132,20
UK1_ASV_00133,20
UK1_ASV_00134,20
UK1_ASV_00135,20
UK1_ASV_00136,20
UK1_ASV_00137,20
UK1_ASV_00138,20
UK1_ASV_00139,20
UK1_ASV_00140,20
UK1_ASV_00141,20
UK1_ASV_00142,20
UK1_ASV_00143,20
UK1_ASV_00144,34
UK1_ASV_00145,34
UK1_ASV_00146,20
UK1_ASV_00147,20
UK1_ASV_00148,20
UK1_ASV_00149,20
UK1_ASV_00151,20
UK1_ASV_00152,20
UK1_ASV_00153,34
UK1_ASV_00154,34
UK1_ASV_00155,20
UK1_ASV_00156,20
UK1_ASV_00157,20
UK1_ASV_00158,20
UK1_ASV_00159,20
UK1_ASV_00160,20
UK1_ASV_00161,20
UK1_ASV_00162,20
UK1_ASV_00163,20
UK1_ASV_00164,20
UK1_ASV_00165,20
UK1_ASV_00166,20
UK1_ASV_00167,20
UK1_ASV_00168,34
UK1_ASV_00169,20
UK1_ASV_00170,20
UK1_ASV_00171,20
UK1_ASV_00172,20
UK1_ASV_00173,20
UK1_ASV_00174,20
UK1_ASV_00176,20
UK1_ASV_00177,20
UK1_ASV_00180,20
UK1_ASV_00181,20
UK1_ASV_00182,20
UK1_ASV_00183,34
UK1_ASV_00184,20
UK1_ASV_00185,34
UK1_ASV_00186,20
UK1_ASV_00187,20
UK1_ASV_00188,20
UK1_ASV_00189,20
UK1_ASV_00190,34
UK1_ASV_00191,20
UK1_ASV_00193,20
UK1_ASV_00196,20
UK1_ASV_00197,20
UK1_ASV_00198,20
UK1_ASV_00199,34
UK1_ASV_00200,20
UK1_ASV_00202,20
UK1_ASV_00203,34
UK1_ASV_00205,34
UK1_ASV_00206,20
UK1_ASV_00207,34
UK1_ASV_00208,34
UK1_ASV_00210,34
UK1_ASV_00212,20
UK1_ASV_00213,34
UK1_ASV_00214,34
UK1_ASV_00215,34
UK1_ASV_00216,34
UK1_ASV_00217,20
UK1_ASV_00218,20
UK1_ASV_00219,20
UK1_ASV_00221,1
UK1_ASV_00222,34
UK1_ASV_00223,34
UK1_ASV_00224,34
UK1_ASV_00225,34
UK1_ASV_00227,1
UK1_ASV_00229,34
UK1_ASV_00230,34
UK1_ASV_00231,34
UK1_ASV_00232,1
UK1_ASV_00233,1
UK1_ASV_00235,1
UK1_ASV_00236,34
UK1_ASV_00238,1
UK1_ASV_00239,34
UK1_ASV_00240,1
UK1_ASV_00241,34
UK1_ASV_00242,34
UK1_ASV_00243,34
UK1_ASV_00244,1
UK1_ASV_00245,34
UK1_ASV_00246,34
UK1_ASV_00247,34
UK1_ASV_00249,1
UK1_ASV_00250,1
UK1_ASV_00251,34
UK1_ASV_00253,1
UK1_ASV_00254,1
UK1_ASV_00256,34
UK1_ASV_00257,1
UK1_ASV_00259,1
UK1_ASV_00260,34
UK1_ASV_00261,34
UK1_ASV_00262,1
UK1_ASV_00263,1
UK1_ASV_00264,1
UK1_ASV_00265,34
UK1_ASV_00266,34
UK1_ASV_00267,34
UK1_ASV_00269,1
UK1_ASV_00270,1
UK1_ASV_00272,1
UK1_ASV_00273,1
UK1_ASV_00275,1
UK1_ASV_00276,1
UK1_ASV_00277,1
UK1_ASV_00278,1
UK1_ASV_00279,34
UK1_ASV_00280,34
UK1_ASV_00285,34
UK1_ASV_00286,1
UK1_ASV_00287,1
