node_id,node_name,flow,levels,module_level1,module_level2
1,1,0.00233923,1,1,136
2,2,0.00256605,1,1,116
3,3,7.1599e-4,1,1,446
4,4,0.00025090000000000003,1,1,687
5,5,0.0035611,1,1,33
6,6,0.00025090000000000003,1,1,688
7,7,0.00339116,1,1,49
8,8,0.00360573,1,1,27
9,9,0.00318573,1,1,63
10,10,0.00368462,1,1,22
11,11,0.00298772,1,1,74
12,12,0.00261193,1,1,110
13,13,0.00380239,1,1,15
14,14,0.00305779,1,1,71
15,15,0.00343793,1,1,45
16,16,0.00221139,1,1,147
17,17,0.00171076,1,1,227
18,18,0.00347714,1,1,43
19,19,0.00389419,1,1,10
20,20,0.00355922,1,1,35
21,21,0.0025091,1,1,124
22,22,0.00350286,1,1,40
23,23,0.00288378,1,1,83
24,24,0.00407167,1,1,2
25,25,0.00104269,1,1,351
26,26,0.0040012,1,1,4
27,27,2.51079e-5,1,1,944
28,28,0.00356244,1,1,32
29,29,0.00359832,1,1,28
30,30,0.00358129,1,1,29
31,31,0.00310933,1,1,67
32,32,0.00329649,1,1,58
33,33,0.0035607,1,1,34
34,34,0.00280721,1,1,94
35,35,0.00321303,1,1,61
36,36,0.00364767,1,1,24
37,37,0.00251766,1,1,121
38,38,0.0011487,1,1,336
39,39,0.00211847,1,1,165
40,40,0.00395609,1,1,7
41,41,0.00215019,1,1,160
42,42,0.00355074,1,1,37
43,43,0.00171981,1,1,223
44,44,0.00391172,1,1,9
45,45,0.00352144,1,1,38
46,46,0.00350223,1,1,41
47,47,5.37661e-4,1,1,514
48,48,0.00196516,1,1,190
49,49,0.00301698,1,1,73
50,50,0.00225854,1,1,143
51,51,0.00400308,1,1,3
52,52,0.00128294,1,1,305
53,53,0.00371961,1,1,20
54,54,0.0041807,1,1,1
55,55,0.00379782,1,1,16
56,56,0.00342984,1,1,47
57,57,0.00398548,1,1,5
58,58,0.00295089,1,1,78
59,59,0.00314141,1,1,64
60,60,0.00207987,1,1,173
61,61,0.00182339,1,1,207
62,62,0.0033756,1,1,50
63,63,0.00368068,1,1,23
64,64,0.00259502,1,1,113
65,65,7.82601e-4,1,1,423
66,66,0.00162235,1,1,244
67,67,0.00310193,1,1,68
68,68,0.00177759,1,1,214
69,69,0.00201542,1,1,181
70,70,0.00264684,1,1,107
71,71,0.00361393,1,1,26
72,72,0.00151817,1,1,263
73,73,0.00168684,1,1,231
74,74,0.00249463,1,1,125
75,75,0.00134769,1,1,292
76,76,0.0027446,1,1,99
77,77,4.97623e-4,1,1,527
78,78,0.00396031,1,1,6
79,79,0.00171953,1,1,224
80,80,0.00201392,1,1,182
81,81,0.00336524,1,1,53
82,82,0.00160912,1,1,249
83,83,0.00296081,1,1,77
84,84,0.00330533,1,1,56
85,85,0.00196766,1,1,189
86,86,0.00355599,1,1,36
87,87,0.00391546,1,1,8
88,88,0.00274901,1,1,98
89,89,0.0024376,1,1,129
90,90,0.0025191,1,1,120
91,91,0.00151835,1,1,262
92,92,0.00337513,1,1,51
93,93,0.00271684,1,1,102
94,94,0.00160027,1,1,252
95,95,0.00271495,1,1,103
96,96,0.00339629,1,1,48
97,97,0.00288522,1,1,82
98,98,8.45925e-4,1,1,400
99,99,0.00137396,1,1,288
100,100,0.00221062,1,1,148
101,101,0.00356969,1,1,31
102,102,0.00166373,1,1,236
103,103,0.00118088,1,1,326
104,104,0.00215425,1,1,159
105,105,0.00382362,1,1,14
106,106,0.00286564,1,1,87
107,107,0.00362921,1,1,25
108,108,0.00126062,1,1,312
109,109,0.00229151,1,1,141
110,110,0.00286301,1,1,88
111,111,9.86354e-4,1,1,361
112,112,0.00382924,1,1,12
113,113,0.00251075,1,1,123
114,114,9.659e-5,1,1,845
115,115,6.41775e-4,1,1,481
116,116,0.00286927,1,1,85
117,117,0.00171171,1,1,226
118,118,0.00239857,1,1,132
119,119,0.00254401,1,1,119
120,120,0.00210134,1,1,170
121,121,5.59838e-4,1,1,506
122,122,4.44773e-4,1,1,544
123,123,0.00141362,1,1,280
124,124,0.00245366,1,1,128
125,125,0.0011911,1,1,321
126,126,0.00161336,1,1,248
127,127,0.00379645,1,1,17
128,128,0.00167383,1,1,234
129,129,0.00319618,1,1,62
130,130,0.00375034,1,1,18
131,131,0.00179018,1,1,212
132,132,0.00268177,1,1,105
133,133,0.00133125,1,1,296
134,134,9.55643e-4,1,1,370
135,135,0.00351777,1,1,39
136,136,0.00216425,1,1,157
137,137,0.00261458,1,1,108
138,138,0.00235752,1,1,135
139,139,0.00281059,1,1,92
140,140,0.00329412,1,1,59
141,141,0.00383297,1,1,11
142,142,9.08813e-4,1,1,382
