node_id,module,layer_id,flow,node_name,short_name
1,1,1,1.21145e-4,ASV_00001,UK1
1,1,2,1.59732e-4,ASV_00001,UK2
1,1,3,8.97368e-6,ASV_00001,IT1
1,1,5,7.17894e-6,ASV_00001,IT3
2,1,1,5.33037e-4,ASV_00002,UK1
2,1,2,6.71231e-4,ASV_00002,UK2
2,1,3,4.0561e-4,ASV_00002,IT1
2,1,4,5.64444e-4,ASV_00002,IT2
2,1,5,2.14471e-4,ASV_00002,IT3
2,1,7,2.64724e-4,ASV_00002,SE1
3,1,7,4.57658e-5,ASV_00003,SE1
4,1,7,8.97368e-6,ASV_00004,SE1
5,1,1,4.51376e-4,ASV_00005,UK1
5,1,2,2.99721e-4,ASV_00005,UK2
5,1,3,3.35616e-4,ASV_00005,IT1
5,1,4,2.81774e-4,ASV_00005,IT2
5,1,5,4.93552e-5,ASV_00005,IT3
6,1,7,8.97368e-6,ASV_00006,SE1
7,1,3,3.41e-5,ASV_00007,IT1
7,1,5,8.97368e-6,ASV_00007,IT3
7,1,6,7.89684e-5,ASV_00007,FI1
7,1,7,2.30624e-4,ASV_00007,SE1
8,1,1,1.06787e-4,ASV_00008,UK1
8,1,3,1.99216e-4,ASV_00008,IT1
8,1,5,2.6921e-6,ASV_00008,IT3
8,1,6,1.79474e-6,ASV_00008,FI1
8,1,7,5.20473e-5,ASV_00008,SE1
9,1,1,5.38421e-6,ASV_00009,UK1
9,1,2,8.97368e-6,ASV_00009,UK2
9,1,3,1.43579e-5,ASV_00009,IT1
9,1,4,1.52553e-5,ASV_00009,IT2
9,1,5,8.97368e-6,ASV_00009,IT3
9,1,6,1.79474e-6,ASV_00009,FI1
9,1,7,2.046e-4,ASV_00009,SE1
10,1,1,1.8755e-4,ASV_00010,UK1
10,1,2,5.83289e-5,ASV_00010,UK2
10,1,3,2.28829e-4,ASV_00010,IT1
10,1,4,1.07684e-5,ASV_00010,IT2
10,1,7,6.90973e-5,ASV_00010,SE1
11,1,1,1.3281e-4,ASV_00011,UK1
11,1,2,1.41784e-4,ASV_00011,UK2
11,1,3,2.09087e-4,ASV_00011,IT1
11,1,4,1.97421e-5,ASV_00011,IT2
11,1,5,2.6921e-6,ASV_00011,IT3
11,1,7,6.64052e-5,ASV_00011,SE1
12,1,1,1.25632e-5,ASV_00012,UK1
12,1,3,2.06395e-5,ASV_00012,IT1
12,1,4,1.56142e-4,ASV_00012,IT2
12,1,6,1.43579e-5,ASV_00012,FI1
12,1,7,2.98824e-4,ASV_00012,SE1
13,1,1,3.04208e-4,ASV_00013,UK1
13,1,2,4.21763e-5,ASV_00013,UK2
13,1,3,1.364e-4,ASV_00013,IT1
13,1,4,1.88447e-5,ASV_00013,IT2
13,1,5,3.67921e-5,ASV_00013,IT3
13,1,6,2.28829e-4,ASV_00013,FI1
13,1,7,3.83176e-4,ASV_00013,SE1
14,1,1,3.64331e-4,ASV_00014,UK1
14,1,2,2.62031e-4,ASV_00014,UK2
14,1,3,2.387e-4,ASV_00014,IT1
14,1,4,7.53789e-5,ASV_00014,IT2
15,1,1,4.25352e-4,ASV_00015,UK1
15,1,2,3.23052e-4,ASV_00015,UK2
15,1,3,2.97926e-4,ASV_00015,IT1
15,1,4,3.84971e-4,ASV_00015,IT2
15,1,5,7.8071e-5,ASV_00015,IT3
16,1,1,5.43805e-4,ASV_00016,UK1
16,1,2,6.68539e-4,ASV_00016,UK2
16,1,4,6.31747e-4,ASV_00016,IT2
16,1,5,1.63321e-4,ASV_00016,IT3
16,1,6,3.76895e-5,ASV_00016,FI1
