"","V1","V2","V3","V4","V5","V6","Farm","Cow_Code","Country"
"108",182,182,0,0,2,-9,"UK1","UK182","UK"
"109",183,183,0,0,2,-9,"UK1","UK183","UK"
"110",184,184,0,0,2,-9,"UK1","UK184","UK"
"111",185,185,0,0,2,-9,"UK1","UK185","UK"
"112",186,186,0,0,2,-9,"UK1","UK186","UK"
"113",187,187,0,0,2,-9,"UK1","UK187","UK"
"114",188,188,0,0,2,-9,"UK1","UK188","UK"
"115",189,189,0,0,2,-9,"UK1","UK189","UK"
"116",19,19,0,0,2,-9,"UK1","UK19","UK"
"117",190,190,0,0,2,-9,"UK1","UK190","UK"
"118",191,191,0,0,2,-9,"UK1","UK191","UK"
"119",192,192,0,0,2,-9,"UK1","UK192","UK"
"120",193,193,0,0,2,-9,"UK1","UK193","UK"
"121",194,194,0,0,2,-9,"UK1","UK194","UK"
"122",195,195,0,0,2,-9,"UK1","UK195","UK"
"123",196,196,0,0,2,-9,"UK1","UK196","UK"
"124",197,197,0,0,2,-9,"UK1","UK197","UK"
"125",198,198,0,0,2,-9,"UK1","UK198","UK"
"126",199,199,0,0,2,-9,"UK1","UK199","UK"
"127",200,200,0,0,2,-9,"UK2","UK200","UK"
"128",201,201,0,0,2,-9,"UK2","UK201","UK"
"129",202,202,0,0,2,-9,"UK2","UK202","UK"
"130",203,203,0,0,2,-9,"UK2","UK203","UK"
"131",204,204,0,0,2,-9,"UK2","UK204","UK"
"132",205,205,0,0,2,-9,"UK2","UK205","UK"
"133",206,206,0,0,2,-9,"UK2","UK206","UK"
"134",207,207,0,0,2,-9,"UK2","UK207","UK"
"135",208,208,0,0,2,-9,"UK2","UK208","UK"
"136",21,21,0,0,2,-9,"UK1","UK21","UK"
"137",210,210,0,0,2,-9,"UK2","UK210","UK"
"138",211,211,0,0,2,-9,"UK2","UK211","UK"
"139",212,212,0,0,2,-9,"UK2","UK212","UK"
"140",213,213,0,0,2,-9,"UK2","UK213","UK"
"141",214,214,0,0,2,-9,"UK2","UK214","UK"
"142",215,215,0,0,2,-9,"UK2","UK215","UK"
"143",216,216,0,0,2,-9,"UK2","UK216","UK"
"144",217,217,0,0,2,-9,"UK2","UK217","UK"
"145",218,218,0,0,2,-9,"UK1","UK218","UK"
"146",219,219,0,0,2,-9,"UK2","UK219","UK"
"147",22,22,0,0,2,-9,"UK1","UK22","UK"
"148",220,220,0,0,2,-9,"UK2","UK220","UK"
"149",221,221,0,0,2,-9,"UK2","UK221","UK"
"150",222,222,0,0,2,-9,"UK2","UK222","UK"
"151",223,223,0,0,2,-9,"UK2","UK223","UK"
"152",224,224,0,0,2,-9,"UK2","UK224","UK"
"153",225,225,0,0,2,-9,"UK2","UK225","UK"
"154",226,226,0,0,2,-9,"UK2","UK226","UK"
"155",227,227,0,0,2,-9,"UK2","UK227","UK"
"156",228,228,0,0,2,-9,"UK2","UK228","UK"
"157",229,229,0,0,2,-9,"UK2","UK229","UK"
"158",23,23,0,0,2,-9,"UK1","UK23","UK"
"159",230,230,0,0,2,-9,"UK2","UK230","UK"
"160",231,231,0,0,2,-9,"UK2","UK231","UK"
"161",232,232,0,0,2,-9,"UK2","UK232","UK"
"162",235,235,0,0,2,-9,"UK2","UK235","UK"
"163",236,236,0,0,2,-9,"UK2","UK236","UK"
"164",237,237,0,0,2,-9,"UK2","UK237","UK"
"165",238,238,0,0,2,-9,"UK2","UK238","UK"
"166",239,239,0,0,2,-9,"UK2","UK239","UK"
"167",24,24,0,0,2,-9,"UK1","UK24","UK"
"168",240,240,0,0,2,-9,"UK2","UK240","UK"
"169",241,241,0,0,2,-9,"UK2","UK241","UK"
"170",242,242,0,0,2,-9,"UK2","UK242","UK"
"171",243,243,0,0,2,-9,"UK2","UK243","UK"
"172",244,244,0,0,2,-9,"UK2","UK244","UK"
"173",245,245,0,0,2,-9,"UK2","UK245","UK"
"174",246,246,0,0,2,-9,"UK2","UK246","UK"
"175",247,247,0,0,2,-9,"UK2","UK247","UK"
"176",248,248,0,0,2,-9,"UK2","UK248","UK"
"177",249,249,0,0,2,-9,"UK2","UK249","UK"
"178",25,25,0,0,2,-9,"UK1","UK25","UK"
"179",250,250,0,0,2,-9,"UK2","UK250","UK"
"180",251,251,0,0,2,-9,"UK2","UK251","UK"
"181",252,252,0,0,2,-9,"UK2","UK252","UK"
"182",253,253,0,0,2,-9,"UK2","UK253","UK"
"183",254,254,0,0,2,-9,"UK2","UK254","UK"
"184",255,255,0,0,2,-9,"UK2","UK255","UK"
"185",256,256,0,0,2,-9,"UK2","UK256","UK"
"186",257,257,0,0,2,-9,"UK2","UK257","UK"
"187",258,258,0,0,2,-9,"UK2","UK258","UK"
"188",259,259,0,0,2,-9,"UK2","UK259","UK"
"189",26,26,0,0,2,-9,"UK1","UK26","UK"
"190",260,260,0,0,2,-9,"UK2","UK260","UK"
"191",261,261,0,0,2,-9,"UK2","UK261","UK"
"192",262,262,0,0,2,-9,"UK2","UK262","UK"
"193",263,263,0,0,2,-9,"UK2","UK263","UK"
"194",264,264,0,0,2,-9,"UK2","UK264","UK"
"195",265,265,0,0,2,-9,"UK2","UK265","UK"
"196",266,266,0,0,2,-9,"UK2","UK266","UK"
"197",267,267,0,0,2,-9,"UK2","UK267","UK"
"198",268,268,0,0,2,-9,"UK2","UK268","UK"
"199",269,269,0,0,2,-9,"UK2","UK269","UK"
"200",27,27,0,0,2,-9,"UK1","UK27","UK"
"201",270,270,0,0,2,-9,"UK2","UK270","UK"
"202",271,271,0,0,2,-9,"UK2","UK271","UK"
