from,PF_J,PF_J_sd,num_layers
ASV_00001,0.07242671860505161,0.1084739123926224,4
ASV_00002,0.20754267809373117,0.09444503855045847,6
ASV_00005,0.1995491592945523,0.12375814706013091,5
ASV_00007,0.048503569096973786,0.049297749770515854,4
ASV_00008,0.04812909807931215,0.07871582079171224,5
ASV_00009,0.022891297129727643,0.04085822376813428,7
ASV_00010,0.10551057058632196,0.08495437674409165,5
ASV_00011,0.09087341078014714,0.10387843038955515,6
ASV_00012,0.034831029108793585,0.03365135764683298,5
ASV_00013,0.04982039677729793,0.06793050997563238,7
ASV_00014,0.21531382793348838,0.12137823409652523,4
ASV_00015,0.2236057529411988,0.11033067535087175,5
ASV_00016,0.16585091631952284,0.13761967838711728,6
ASV_00017,0.24304914186820406,0.11526951280310731,5
ASV_00018,0.13938614838146415,0.1637439454767066,6
ASV_00019,0.035897721228650245,0.029487622107254013,6
ASV_00020,0.06127267232218183,0.10554342579283821,4
ASV_00021,0.16324136468177466,0.17091284770524343,5
ASV_00022,0.048833476518946616,0.04502017854878092,3
ASV_00023,0.049665787847287535,0.04004180002739491,4
ASV_00024,0.08123580131221887,0.07423783445067614,7
ASV_00025,0.24102709250556176,0.0881319713685959,4
ASV_00026,0.1854796589010123,0.05016417427622319,5
ASV_00028,0.027043082668704976,0.025329059620178146,4
ASV_00029,0.05243660407025905,0.05478599350342985,5
ASV_00030,0.15444074614178327,0.11613935894941811,6
ASV_00031,0.05470746962836603,0.04537595841787943,7
ASV_00032,0.15765073557701995,0.1400402751395422,6
ASV_00033,0.060432821582472866,0.05888134374915905,6
ASV_00034,0.07881048119887767,0.07233579661783067,6
ASV_00035,0.0479311555732367,0.05464168553870085,7
ASV_00036,0.2248884695960453,0.09211344390838098,6
ASV_00037,0.13551735465124035,0.0976502872933421,6
ASV_00038,0.26292202693141214,0.09820425016083142,5
ASV_00039,0.15812744511728163,0.07481660233603246,5
ASV_00040,0.03863331913571068,0.05119522001493483,7
ASV_00041,0.10866033502516088,0.10961588323164127,6
ASV_00042,0.057796891799388975,0.06774477786380582,7
ASV_00043,0.2550260003228319,0.12080252084215697,5
ASV_00044,0.051767070708959737,0.08120726153138967,7
ASV_00045,0.19397414038059935,0.09506421347810237,6
ASV_00046,0.08839449105549374,0.04980126180589639,4
ASV_00047,0.27914309978518015,0.09223091540958848,4
ASV_00048,0.15859232239367593,0.12000042505727897,7
ASV_00049,0.12145481202396047,0.0837364808087687,6
ASV_00050,0.1284834457391886,0.12356792543237123,6
ASV_00051,0.10626063524287101,0.10339547554716065,7
ASV_00052,0.13031754621533478,0.12859586980548462,6
ASV_00053,0.20110014118669337,0.14545795946693,6
ASV_00054,0.09644018607734753,0.10820061134968283,7
ASV_00055,0.14770856651759956,0.09509557528151431,7
ASV_00056,0.20606732259988542,0.12432016768634378,6
ASV_00057,0.13395702821385724,0.11086979488428728,7
ASV_00058,0.12987707420424696,0.09878130747265013,7
ASV_00059,0.16510067089019675,0.12236107672986614,7
ASV_00060,0.21414015276841863,0.14196994717811656,5
ASV_00061,0.19494073440200804,0.1485867583981194,5
ASV_00062,0.03840998074789999,0.029651991429704753,6
ASV_00063,0.17360333967655744,0.10178490277925119,7
ASV_00064,0.09694905153959554,0.11070420259937452,7
ASV_00065,0.25941088000624124,0.09756997096403988,4
ASV_00066,0.2880337677736428,0.05368815018490845,5
ASV_00067,0.05722773264331934,0.03396656800965966,4
ASV_00068,0.17465398039352983,0.10086425611977648,5
ASV_00069,0.15501904073077002,0.10547962298594701,6
ASV_00070,0.17617350807755935,0.10822719411326594,7
ASV_00071,0.22918852431541087,0.08599977841865127,7
ASV_00072,0.3407480853470896,0.05773912094186714,3
ASV_00073,0.25466109183353774,0.10965849293855762,5
ASV_00074,0.07888536505280365,0.05635187895665367,4
ASV_00075,0.2626367035765463,0.10843069060856991,5
ASV_00076,0.22271011969492152,0.08853186626349642,7
ASV_00077,0.24480922041104214,0.06702361419983276,3
ASV_00078,0.10104396638342741,0.08817193702674657,6
ASV_00079,0.23460980623577796,0.1265484917282306,5
ASV_00080,0.16023047669119977,0.10688614416659434,6
ASV_00081,0.1674807506054813,0.08902065127323905,7
ASV_00082,0.0968905805598601,0.06500954530520223,3
ASV_00083,0.1794910381789934,0.09124821345378303,7
ASV_00084,0.1095791355281324,0.11448427311636655,7
ASV_00085,0.28269028245377764,0.042891862942855824,5
ASV_00086,0.1482935378763943,0.0890646884541235,7
ASV_00087,0.1138684570599751,0.1208175370982619,7
ASV_00088,0.21442514978913335,0.08407763031980019,5
ASV_00089,0.1851825865728744,0.15087728422988197,5
ASV_00090,0.15826199080545958,0.10988684761750141,7
ASV_00091,0.22066260926401796,0.12061159098655255,5
ASV_00092,0.21609902796044142,0.09719210145663683,7
ASV_00093,0.14561342966763083,0.05184172371394495,6
ASV_00094,0.17288557360860196,0.10096594465785817,5
ASV_00095,0.049797383742229286,0.07678127982074857,4
ASV_00096,0.10253516573116526,0.07782513000364356,7
ASV_00097,0.12215437815995447,0.12045066780527373,6
ASV_00098,0.25422549514820253,0.09076143795530583,4
ASV_00099,0.22761827247814403,0.16918074198960795,5
ASV_00100,0.1129934961794738,0.08107113008373332,6
ASV_00101,0.1262291488201182,0.10280935807076141,6
ASV_00102,0.189683762108747,0.14841699886720566,5
ASV_00103,0.23787240550921573,0.10973965646912345,5
ASV_00104,0.17781888529423856,0.10910846779005845,6
ASV_00105,0.11963636108458854,0.104121383728047,7
ASV_00106,0.16236305311156699,0.08137594576965095,6
ASV_00107,0.11748087482579543,0.08438614764892556,7
ASV_00108,0.30462396973475414,0.1583962716546193,3
ASV_00109,0.2455164082550939,0.10007996190766076,5
ASV_00110,0.19062446193039193,0.08441199158923293,5
ASV_00111,0.23749243565218714,0.10384924671213913,4
ASV_00112,0.10770474901428238,0.07727358303629255,7
ASV_00113,0.1403718123343963,0.12660488988016774,7
ASV_00115,0.3690851735015773,NA,2
ASV_00116,0.2456181902180221,0.11000667493053679,7
ASV_00117,0.17767731311738566,0.11211327617902428,6
ASV_00118,0.16885273977396634,0.09108845250191126,6
ASV_00119,0.1290417091431521,0.08434824389268936,5
ASV_00120,0.18985976737884236,0.08870492795185773,5
ASV_00121,0.10581701591663806,0.027883561855686148,3
ASV_00122,0.2927091829546644,0.1064254397544051,4
ASV_00123,0.2429223740623255,0.05660295431529317,5
ASV_00125,0.10119427290912933,0.0585360536916599,6
ASV_00126,0.18235089940160748,0.13208021747898524,4
ASV_00127,0.25212686943126966,0.1234894764664789,5
ASV_00128,0.14457316582116164,0.12031644697086168,7
ASV_00129,0.2291153471367811,0.1344582663165025,5
ASV_00130,0.13430437800071646,0.10013590248482922,6
ASV_00131,0.11850414549077863,0.07223460784424929,7
ASV_00132,0.2949952530439422,0.06738968607764821,3
ASV_00133,0.15658355514081493,0.10143815269703814,6
ASV_00134,0.2032977459132265,0.14935368713062863,4
ASV_00135,0.20211278021368378,0.11414888681989202,5
ASV_00136,0.2079968039599775,0.10100752323088774,7
ASV_00137,0.20693755864830446,0.14379674736051087,5
ASV_00138,0.2886185130269353,0.08522148860889868,5
ASV_00139,0.13211264438638504,0.10099940598718019,5
ASV_00140,0.16001776612029456,0.12556092638176053,7
