from,PF_U,PF_U_sd,num_layers,UniFrac_type
ASV_00001,0.23779440222495318,0.10415390594255915,6,d_UW
ASV_00002,0.4898760555610283,0.1428424257420739,6,d_UW
ASV_00005,0.42100850121725697,0.17224821316113312,5,d_UW
ASV_00007,0.23882101055979843,0.09074735556084924,4,d_UW
ASV_00008,0.21757903445997362,0.15905306775845757,5,d_UW
ASV_00009,0.31823381958628305,0.1744581213713245,7,d_UW
ASV_00010,0.3666856813392314,0.16070267794533138,5,d_UW
ASV_00011,0.31999457183393276,0.19965843498181893,6,d_UW
ASV_00012,0.4181426978513977,0.12500387174769073,6,d_UW
ASV_00013,0.32678673936804714,0.08913399363496602,7,d_UW
ASV_00014,0.4568975057031437,0.14618332035966233,4,d_UW
ASV_00015,0.49466547437744546,0.12745806184434563,5,d_UW
ASV_00016,0.46898179718742417,0.14009825289146904,7,d_UW
ASV_00017,0.5135733232734065,0.1123574170859987,5,d_UW
ASV_00018,0.327969417294414,0.22619713050030504,6,d_UW
ASV_00019,0.38979497100402594,0.11339498986978214,6,d_UW
ASV_00020,0.276257555661484,0.21138949556660172,4,d_UW
ASV_00021,0.42108001616751256,0.23313937201595442,6,d_UW
ASV_00022,0.20367275063273005,0.10073667789047065,3,d_UW
ASV_00023,0.42886897655962286,0.0833061015240841,4,d_UW
ASV_00024,0.41001800093789686,0.09494024596971659,7,d_UW
ASV_00025,0.5023657670876884,0.1414062232758246,5,d_UW
ASV_00026,0.48675039282307087,0.08928124951925558,5,d_UW
ASV_00027,0.3198564963221825,0.0801992989083454,3,d_UW
ASV_00028,0.3283091107872669,0.17316042927690709,4,d_UW
ASV_00029,0.28476825574964004,0.16124349997633775,5,d_UW
ASV_00030,0.35883447933204826,0.18221948755176473,6,d_UW
ASV_00031,0.38920943641959926,0.1158642683898373,7,d_UW
ASV_00032,0.3895795064229536,0.19896858540242834,6,d_UW
ASV_00033,0.3239222143881155,0.11463238538812906,6,d_UW
ASV_00034,0.3847285117321998,0.12184264366188896,6,d_UW
ASV_00035,0.2833173648325036,0.12553435959462123,7,d_UW
ASV_00036,0.5402121539335182,0.0849318150829212,6,d_UW
ASV_00037,0.43746639960071365,0.08736791943611961,7,d_UW
ASV_00038,0.5239280501956725,0.0927193820647577,5,d_UW
ASV_00039,0.4622535465241324,0.08067520380107171,7,d_UW
ASV_00040,0.27002143494792696,0.16235886463525842,7,d_UW
ASV_00041,0.3621557810298399,0.1111635099561079,7,d_UW
ASV_00042,0.2742532650241316,0.11769729122057983,7,d_UW
ASV_00043,0.5058785611948948,0.1456999218641207,5,d_UW
ASV_00044,0.3221940396889311,0.14108921293750407,7,d_UW
ASV_00045,0.42768412052661364,0.16755286423261442,7,d_UW
ASV_00046,0.3161326584171499,0.10528657501041948,4,d_UW
ASV_00047,0.5337325149184247,0.08968867101545716,5,d_UW
ASV_00048,0.42318903750449877,0.22104258242639271,7,d_UW
ASV_00049,0.37409560683545895,0.13564383629415022,7,d_UW
ASV_00050,0.39485176238508457,0.18056637245106572,7,d_UW
ASV_00051,0.32800039536972525,0.16658009017807385,7,d_UW
ASV_00052,0.39663625239585165,0.20009544475480104,7,d_UW
ASV_00053,0.4793269921673612,0.14551487952521244,6,d_UW
ASV_00054,0.39115605076297155,0.15533449345479783,7,d_UW
ASV_00055,0.4285502510688315,0.13527685617594273,7,d_UW
ASV_00056,0.5167006145916713,0.12756703677470047,6,d_UW
ASV_00057,0.35059526432712784,0.19496046384159116,7,d_UW
ASV_00058,0.43590491629649875,0.11756374830781804,7,d_UW
ASV_00059,0.4217754894951299,0.2020536391031527,7,d_UW
ASV_00060,0.445154384117198,0.15712026601352116,7,d_UW
ASV_00061,0.42289683917563503,0.1279828380929182,7,d_UW
ASV_00062,0.4158779288993104,0.08420159230712343,6,d_UW
ASV_00063,0.45170815375570994,0.16134476495884442,7,d_UW
ASV_00064,0.4044464188552864,0.15820970167783924,7,d_UW
ASV_00065,0.482887356067901,0.07307203626109915,5,d_UW
ASV_00066,0.5197327865574038,0.11922908212222334,7,d_UW
ASV_00067,0.30925373645824705,0.15061572642041926,4,d_UW
ASV_00068,0.449668258508252,0.09842158976584105,6,d_UW
ASV_00069,0.48979043598954186,0.09586284392684405,7,d_UW
ASV_00070,0.4654079042627276,0.12392702222279778,7,d_UW
ASV_00071,0.5096348457581776,0.08650305995626986,7,d_UW
ASV_00072,0.38655400882014035,0.20329297039860364,6,d_UW
ASV_00073,0.3876354012051343,0.20761893886921087,6,d_UW
ASV_00074,0.3801621116774987,0.11944322155427314,7,d_UW
ASV_00075,0.5171087698735619,0.11383317164014219,5,d_UW
ASV_00076,0.5206857677842169,0.09166214989548585,7,d_UW
ASV_00077,0.5212842077168572,0.09594402814473771,5,d_UW
ASV_00078,0.4004729550756846,0.1519352503825436,6,d_UW
ASV_00079,0.5008346300824726,0.12053602894112092,5,d_UW
ASV_00080,0.4668064644956387,0.12577929552135422,7,d_UW
ASV_00081,0.475836351128465,0.10229282409039886,7,d_UW
ASV_00082,0.4024651562244794,0.04261977182393333,5,d_UW
ASV_00083,0.4807788786521403,0.09956423544212714,7,d_UW
ASV_00084,0.39307658331967543,0.15723495424139605,7,d_UW
ASV_00085,0.5207952405897941,0.09908320859855192,7,d_UW
ASV_00086,0.44338348261439975,0.10340348263668156,7,d_UW
ASV_00087,0.3672070551363046,0.19809868932697597,7,d_UW
ASV_00088,0.44544659005688114,0.13843108664467468,7,d_UW
ASV_00089,0.4264322541154948,0.14394979103244923,7,d_UW
ASV_00090,0.45430585323733164,0.14764608142491806,7,d_UW
ASV_00091,0.45483996013657846,0.14608888685711577,5,d_UW
ASV_00092,0.48336836406118966,0.12156694661211682,7,d_UW
ASV_00093,0.4368327852660183,0.1041230675956288,7,d_UW
ASV_00094,0.3650152212880937,0.18589852168288204,7,d_UW
ASV_00095,0.2383806462616085,0.17980984630977992,4,d_UW
