ASV_ID,edge_type
ASV_00003,pos
ASV_00004,pos
ASV_00006,pos
ASV_00007,pos
ASV_00020,pos
ASV_00022,pos
ASV_00067,pos
ASV_00003,neg
ASV_00004,neg
ASV_00006,neg
ASV_00007,neg
ASV_00009,neg
ASV_00019,neg
ASV_00020,neg
ASV_00022,neg
ASV_00024,neg
ASV_00028,neg
ASV_00029,neg
ASV_00033,neg
ASV_00034,neg
ASV_00035,neg
ASV_00037,neg
ASV_00040,neg
ASV_00042,neg
ASV_00046,neg
ASV_00049,neg
ASV_00051,neg
ASV_00053,neg
ASV_00054,neg
ASV_00055,neg
ASV_00067,neg
ASV_00086,neg
ASV_00088,neg
ASV_00096,neg
ASV_00106,neg
ASV_00130,neg
ASV_00132,neg
ASV_00133,neg
ASV_00139,neg
ASV_00141,neg
ASV_00142,neg
ASV_00160,neg
ASV_00166,neg
ASV_00169,neg
ASV_00170,neg
ASV_00182,neg
ASV_00183,neg
ASV_00184,neg
ASV_00193,neg
ASV_00198,neg
ASV_00200,neg
ASV_00202,neg
ASV_00233,neg
ASV_00238,neg
ASV_00244,neg
ASV_00249,neg
ASV_00254,neg
ASV_00257,neg
ASV_00276,neg
ASV_00278,neg
ASV_00280,neg
ASV_00294,neg
ASV_00296,neg
ASV_00298,neg
ASV_00304,neg
ASV_00333,neg
ASV_00340,neg
ASV_00365,neg
ASV_00369,neg
ASV_00378,neg
ASV_00382,neg
ASV_00393,neg
ASV_00394,neg
ASV_00397,neg
ASV_00425,neg
ASV_00442,neg
ASV_00464,neg
ASV_00493,neg
ASV_00519,neg
ASV_00527,neg
ASV_00529,neg
ASV_00554,neg
ASV_00581,neg
ASV_00591,neg
ASV_00618,neg
ASV_00641,neg
ASV_00721,neg
ASV_00736,neg
ASV_00758,neg
ASV_00772,neg
ASV_00779,neg
ASV_00789,neg
ASV_00821,neg
ASV_00929,neg
ASV_00958,neg
ASV_00959,neg
ASV_00987,neg
ASV_00990,neg
ASV_01031,neg
ASV_01066,neg
ASV_01101,neg
ASV_01150,neg
ASV_01250,neg
ASV_01328,neg
