"","sp1","sp2","weight","sp1_inc","sp2_inc","obs_cooccur","exp_cooccur","p_lt","p_gt","sp1_name","sp2_name","level","level_name","edge_type"
"1",1,2,1,61,61,61,61,1,1,"ASV_00002","ASV_00003","Farm","Mink","not_significant"
"2",1,3,1,61,61,61,61,1,1,"ASV_00002","ASV_00004","Farm","Mink","not_significant"
"3",1,4,1,61,61,61,61,1,1,"ASV_00002","ASV_00005","Farm","Mink","not_significant"
"4",1,5,1,61,61,61,61,1,1,"ASV_00002","ASV_00006","Farm","Mink","not_significant"
"5",1,6,0.902,61,55,55,55,1,1,"ASV_00002","ASV_00007","Farm","Mink","not_significant"
"6",1,7,1,61,61,61,61,1,1,"ASV_00002","ASV_00008","Farm","Mink","not_significant"
"7",1,8,1,61,61,61,61,1,1,"ASV_00002","ASV_00009","Farm","Mink","not_significant"
"8",1,9,1,61,61,61,61,1,1,"ASV_00002","ASV_00010","Farm","Mink","not_significant"
"9",1,10,0.984,61,60,60,60,1,1,"ASV_00002","ASV_00011","Farm","Mink","not_significant"
"10",1,11,0.951,61,58,58,58,1,1,"ASV_00002","ASV_00012","Farm","Mink","not_significant"
"11",1,12,0.705,61,43,43,43,1,1,"ASV_00002","ASV_00013","Farm","Mink","not_significant"
"12",1,13,1,61,61,61,61,1,1,"ASV_00002","ASV_00014","Farm","Mink","not_significant"
"13",1,14,1,61,61,61,61,1,1,"ASV_00002","ASV_00015","Farm","Mink","not_significant"
"14",1,15,0.77,61,47,47,47,1,1,"ASV_00002","ASV_00016","Farm","Mink","not_significant"
"15",1,16,0.951,61,58,58,58,1,1,"ASV_00002","ASV_00018","Farm","Mink","not_significant"
"16",1,17,0.951,61,58,58,58,1,1,"ASV_00002","ASV_00019","Farm","Mink","not_significant"
"17",1,18,0.738,61,45,45,45,1,1,"ASV_00002","ASV_00020","Farm","Mink","not_significant"
"18",1,19,1,61,61,61,61,1,1,"ASV_00002","ASV_00021","Farm","Mink","not_significant"
"19",1,20,1,61,61,61,61,1,1,"ASV_00002","ASV_00022","Farm","Mink","not_significant"
"20",1,21,1,61,61,61,61,1,1,"ASV_00002","ASV_00023","Farm","Mink","not_significant"
"21",1,22,0.918,61,56,56,56,1,1,"ASV_00002","ASV_00024","Farm","Mink","not_significant"
"22",1,23,0.984,61,60,60,60,1,1,"ASV_00002","ASV_00026","Farm","Mink","not_significant"
"23",1,24,0.951,61,58,58,58,1,1,"ASV_00002","ASV_00028","Farm","Mink","not_significant"
"24",1,25,0.869,61,53,53,53,1,1,"ASV_00002","ASV_00029","Farm","Mink","not_significant"
"25",1,26,0.984,61,60,60,60,1,1,"ASV_00002","ASV_00030","Farm","Mink","not_significant"
"26",1,27,0.754,61,46,46,46,1,1,"ASV_00002","ASV_00031","Farm","Mink","not_significant"
"27",1,28,1,61,61,61,61,1,1,"ASV_00002","ASV_00032","Farm","Mink","not_significant"
"28",1,29,1,61,61,61,61,1,1,"ASV_00002","ASV_00033","Farm","Mink","not_significant"
"29",1,30,0.328,61,20,20,20,1,1,"ASV_00002","ASV_00034","Farm","Mink","not_significant"
"30",1,31,0.836,61,51,51,51,1,1,"ASV_00002","ASV_00035","Farm","Mink","not_significant"
"31",1,32,1,61,61,61,61,1,1,"ASV_00002","ASV_00036","Farm","Mink","not_significant"
"32",1,33,0.689,61,42,42,42,1,1,"ASV_00002","ASV_00039","Farm","Mink","not_significant"
"33",1,34,0.984,61,60,60,60,1,1,"ASV_00002","ASV_00040","Farm","Mink","not_significant"
"34",1,35,0.59,61,36,36,36,1,1,"ASV_00002","ASV_00042","Farm","Mink","not_significant"
"35",1,36,0.672,61,41,41,41,1,1,"ASV_00002","ASV_00044","Farm","Mink","not_significant"
"36",1,37,0.459,61,28,28,28,1,1,"ASV_00002","ASV_00045","Farm","Mink","not_significant"
"37",1,38,0.902,61,55,55,55,1,1,"ASV_00002","ASV_00046","Farm","Mink","not_significant"
"38",1,39,0.984,61,60,60,60,1,1,"ASV_00002","ASV_00048","Farm","Mink","not_significant"
"39",1,40,0.951,61,58,58,58,1,1,"ASV_00002","ASV_00050","Farm","Mink","not_significant"
"40",1,41,0.754,61,46,46,46,1,1,"ASV_00002","ASV_00051","Farm","Mink","not_significant"
"41",1,42,0.984,61,60,60,60,1,1,"ASV_00002","ASV_00052","Farm","Mink","not_significant"
"42",1,43,0.508,61,31,31,31,1,1,"ASV_00002","ASV_00054","Farm","Mink","not_significant"
"43",1,44,0.787,61,48,48,48,1,1,"ASV_00002","ASV_00055","Farm","Mink","not_significant"
"44",1,45,1,61,61,61,61,1,1,"ASV_00002","ASV_00056","Farm","Mink","not_significant"
"45",1,46,0.984,61,60,60,60,1,1,"ASV_00002","ASV_00057","Farm","Mink","not_significant"
