node_id,module,layer_id,flow,node_name,layer_name,short_name
1,1,1,7.94301e-5,ASV_00001,NUDC,UK1
1,1,2,1.21744e-4,ASV_00001,Park,UK2
1,1,3,9.57135e-6,ASV_00001,Bian,IT1
1,3,5,8.20806e-6,ASV_00001,Gand,IT3
1,1,6,1.59609e-6,ASV_00001,Mink,FI1
1,1,7,2.50436e-5,ASV_00001,Raab,SE1
2,1,1,2.53435e-4,ASV_00002,NUDC,UK1
2,1,2,3.02591e-4,ASV_00002,Park,UK2
2,1,3,2.50296e-4,ASV_00002,Bian,IT1
2,1,4,2.56261e-4,ASV_00002,Fran,IT2
2,1,5,5.50496e-5,ASV_00002,Gand,IT3
2,1,7,9.5659e-5,ASV_00002,Raab,SE1
3,1,7,6.1018e-5,ASV_00003,Raab,SE1
4,1,7,1.32748e-5,ASV_00004,Raab,SE1
5,1,1,2.06439e-4,ASV_00005,NUDC,UK1
5,1,2,1.4088e-4,ASV_00005,Park,UK2
5,1,3,2.15546e-4,ASV_00005,Bian,IT1
5,1,4,1.10605e-4,ASV_00005,Fran,IT2
5,1,5,1.56985e-5,ASV_00005,Gand,IT3
6,1,7,1.32748e-5,ASV_00006,Raab,SE1
7,1,3,2.95209e-5,ASV_00007,Bian,IT1
7,3,5,7.55792e-6,ASV_00007,Gand,IT3
7,1,6,4.0533e-5,ASV_00007,Mink,FI1
7,1,7,2.00982e-4,ASV_00007,Raab,SE1
8,1,1,6.97056e-5,ASV_00008,NUDC,UK1
8,1,3,1.86517e-4,ASV_00008,Bian,IT1
8,1,5,2.27148e-6,ASV_00008,Gand,IT3
8,3,6,2.03783e-6,ASV_00008,Mink,FI1
8,1,7,3.78101e-5,ASV_00008,Raab,SE1
9,1,1,6.89993e-6,ASV_00009,NUDC,UK1
9,1,2,1.11448e-5,ASV_00009,Park,UK2
9,1,3,1.45231e-5,ASV_00009,Bian,IT1
9,1,4,1.47943e-5,ASV_00009,Fran,IT2
9,3,5,9.69207e-6,ASV_00009,Gand,IT3
9,3,6,4.12501e-6,ASV_00009,Mink,FI1
9,1,7,2.10599e-4,ASV_00009,Raab,SE1
10,1,1,1.08642e-4,ASV_00010,NUDC,UK1
10,1,2,2.9976e-5,ASV_00010,Park,UK2
10,1,3,1.84626e-4,ASV_00010,Bian,IT1
10,1,4,6.77564e-6,ASV_00010,Fran,IT2
10,1,7,4.64439e-5,ASV_00010,Raab,SE1
11,1,1,6.52665e-5,ASV_00011,NUDC,UK1
11,1,2,8.18708e-5,ASV_00011,Park,UK2
11,1,3,1.29232e-4,ASV_00011,Bian,IT1
11,1,4,9.56007e-6,ASV_00011,Fran,IT2
11,1,5,2.7819e-6,ASV_00011,Gand,IT3
11,1,7,4.57508e-5,ASV_00011,Raab,SE1
12,1,1,1.08436e-5,ASV_00012,NUDC,UK1
12,1,3,2.64335e-5,ASV_00012,Bian,IT1
12,1,4,1.44235e-4,ASV_00012,Fran,IT2
12,1,5,2.64494e-5,ASV_00012,Gand,IT3
12,1,6,9.55157e-6,ASV_00012,Mink,FI1
12,1,7,2.3488e-4,ASV_00012,Raab,SE1
13,1,1,1.78773e-4,ASV_00013,NUDC,UK1
13,1,2,2.3762e-5,ASV_00013,Park,UK2
13,1,3,8.07127e-5,ASV_00013,Bian,IT1
13,1,4,1.40562e-5,ASV_00013,Fran,IT2
13,1,5,2.06909e-5,ASV_00013,Gand,IT3
13,1,6,1.29084e-4,ASV_00013,Mink,FI1
13,1,7,2.61256e-4,ASV_00013,Raab,SE1
14,1,1,1.90927e-4,ASV_00014,NUDC,UK1
14,1,2,1.40351e-4,ASV_00014,Park,UK2
14,1,3,1.3929e-4,ASV_00014,Bian,IT1
14,1,4,3.13221e-5,ASV_00014,Fran,IT2
15,1,1,1.67177e-4,ASV_00015,NUDC,UK1
15,1,2,1.42132e-4,ASV_00015,Park,UK2
15,1,3,1.57919e-4,ASV_00015,Bian,IT1
15,1,4,1.53655e-4,ASV_00015,Fran,IT2
15,1,5,2.09077e-5,ASV_00015,Gand,IT3
16,1,1,2.46385e-4,ASV_00016,NUDC,UK1
16,1,2,2.55327e-4,ASV_00016,Park,UK2
16,1,3,1.69349e-4,ASV_00016,Bian,IT1
16,1,4,3.26581e-4,ASV_00016,Fran,IT2
16,1,5,5.19321e-5,ASV_00016,Gand,IT3
