node_id,module,layer_id,flow,node_name,itr,percent
1,1,1,1.55968e-4,ASV_00001,38,0
1,7,2,2.41379e-4,ASV_00001,38,0
1,6,3,1.11406e-5,ASV_00001,38,0
1,12,5,9.28381e-6,ASV_00001,38,0
2,1,1,3.62069e-4,ASV_00002,38,0
2,4,2,5.81166e-4,ASV_00002,38,0
2,6,3,3.08222e-4,ASV_00002,38,0
2,2,4,4.10344e-4,ASV_00002,38,0
2,8,5,1.13262e-4,ASV_00002,38,0
2,3,7,2.06101e-4,ASV_00002,38,0
3,3,7,9.46949e-5,ASV_00003,38,0
4,3,7,1.85676e-5,ASV_00004,38,0
5,1,1,4.30769e-4,ASV_00005,38,0
5,4,2,2.32095e-4,ASV_00005,38,0
5,6,3,2.95225e-4,ASV_00005,38,0
5,2,4,2.09814e-4,ASV_00005,38,0
5,8,5,3.1565e-5,ASV_00005,38,0
6,3,7,1.85676e-5,ASV_00006,38,0
7,6,3,4.6419e-5,ASV_00007,38,0
7,12,5,9.28381e-6,ASV_00007,38,0
7,5,6,9.46949e-5,ASV_00007,38,0
7,3,7,3.97347e-4,ASV_00007,38,0
8,1,1,1.18833e-4,ASV_00008,38,0
8,6,3,3.06366e-4,ASV_00008,38,0
8,13,5,1.85676e-6,ASV_00008,38,0
8,14,6,1.85676e-6,ASV_00008,38,0
8,3,7,5.75596e-5,ASV_00008,38,0
9,1,1,5.57029e-6,ASV_00009,38,0
9,11,2,1.29973e-5,ASV_00009,38,0
9,6,3,2.04244e-5,ASV_00009,38,0
9,2,4,1.67109e-5,ASV_00009,38,0
9,12,5,9.28381e-6,ASV_00009,38,0
9,14,6,1.85676e-6,ASV_00009,38,0
9,3,7,3.91777e-4,ASV_00009,38,0
10,1,1,2.07957e-4,ASV_00010,38,0
10,4,2,3.8992e-5,ASV_00010,38,0
10,6,3,2.85941e-4,ASV_00010,38,0
10,2,4,7.42705e-6,ASV_00010,38,0
10,3,7,6.87002e-5,ASV_00010,38,0
