ASV_ID,edge_type
ASV_00005,pos
ASV_00014,pos
ASV_00015,pos
ASV_00018,pos
ASV_00034,pos
ASV_01234,pos
ASV_00004,neg
ASV_00005,neg
ASV_00006,neg
ASV_00014,neg
ASV_00018,neg
ASV_00021,neg
ASV_00023,neg
ASV_00032,neg
ASV_00034,neg
ASV_00108,neg
ASV_00145,neg
ASV_00176,neg
ASV_00220,neg
ASV_00325,neg
ASV_00340,neg
ASV_00375,neg
ASV_00389,neg
ASV_00405,neg
ASV_00450,neg
ASV_00466,neg
ASV_00522,neg
ASV_00566,neg
ASV_00598,neg
ASV_00618,neg
ASV_00687,neg
ASV_00696,neg
ASV_00699,neg
ASV_00756,neg
ASV_00809,neg
ASV_00812,neg
ASV_00858,neg
ASV_00875,neg
ASV_00921,neg
ASV_00923,neg
ASV_01000,neg
ASV_01129,neg
ASV_01143,neg
ASV_01150,neg
ASV_01190,neg
ASV_01206,neg
ASV_01240,neg
ASV_01344,neg
ASV_01364,neg
ASV_01370,neg
ASV_01397,neg
ASV_01450,neg
ASV_01455,neg
ASV_01493,neg
ASV_01609,neg
ASV_01611,neg
ASV_01624,neg
ASV_01647,neg
ASV_01673,neg
ASV_01702,neg
ASV_01703,neg
ASV_01776,neg
ASV_01782,neg
ASV_01794,neg
ASV_01809,neg
ASV_01853,neg
ASV_01859,neg
ASV_01907,neg
ASV_01909,neg
ASV_01932,neg
ASV_01936,neg
ASV_01937,neg
ASV_01948,neg
ASV_01950,neg
ASV_01957,neg
ASV_01959,neg
ASV_01980,neg
ASV_01982,neg
ASV_02017,neg
ASV_02020,neg
ASV_02023,neg
ASV_02058,neg
ASV_02077,neg
ASV_02092,neg
ASV_02103,neg
ASV_02107,neg
ASV_02178,neg
ASV_02194,neg
ASV_02209,neg
ASV_02231,neg
ASV_02248,neg
ASV_02274,neg
ASV_02291,neg
ASV_02292,neg
ASV_02295,neg
ASV_02316,neg
ASV_02365,neg
ASV_02369,neg
ASV_02372,neg
ASV_02387,neg
ASV_02409,neg
ASV_02447,neg
ASV_02463,neg
ASV_02554,neg
ASV_02555,neg
ASV_02563,neg
ASV_02605,neg
ASV_02629,neg
ASV_02643,neg
ASV_02655,neg
ASV_02683,neg
ASV_02703,neg
ASV_02720,neg
ASV_02758,neg
ASV_02814,neg
ASV_02862,neg
ASV_02885,neg
ASV_02903,neg
ASV_02933,neg
ASV_02941,neg
ASV_02969,neg
ASV_02972,neg
ASV_02975,neg
ASV_02987,neg
ASV_03020,neg
ASV_03048,neg
ASV_03057,neg
ASV_03163,neg
ASV_03186,neg
ASV_03188,neg
ASV_03248,neg
ASV_03255,neg
ASV_03257,neg
ASV_03275,neg
ASV_03297,neg
ASV_03327,neg
ASV_03346,neg
ASV_03394,neg
ASV_03426,neg
ASV_03432,neg
ASV_03477,neg
ASV_03513,neg
ASV_03515,neg
ASV_03538,neg
ASV_03542,neg
ASV_03561,neg
ASV_03588,neg
ASV_03618,neg
ASV_03689,neg
ASV_03711,neg
ASV_03730,neg
ASV_03795,neg
ASV_03848,neg
ASV_03977,neg
ASV_04007,neg
ASV_04027,neg
ASV_04030,neg
ASV_04093,neg
ASV_04167,neg
ASV_04199,neg
ASV_04234,neg
ASV_04241,neg
ASV_04257,neg
ASV_04263,neg
ASV_04369,neg
ASV_04429,neg
ASV_04430,neg
ASV_04546,neg
ASV_04669,neg
ASV_04684,neg
ASV_04853,neg
ASV_04983,neg
ASV_05730,neg
ASV_05894,neg
ASV_05929,neg
ASV_05966,neg
ASV_06430,neg
ASV_06487,neg
